Word,Pknown,FreqZipfUS,Length
bold,0.997,3.87,4
cute,0.997,4.94,4
edge,0.997,4.37,4
mate,0.997,4.46,4
news,0.997,5.21,4
suck,0.997,4.54,4
fast,0.997,5.13,4
meat,0.997,4.63,4
sunk,0.997,3.66,4
vast,0.997,3.78,4
wise,0.997,4.45,4
flop,0.997,3.36,4
pity,0.997,4.37,4
twin,0.997,4.01,4
buzz,0.997,4.20,4
fate,0.997,4.43,4
boom,0.997,4.33,4
hush,0.997,3.88,4
slip,0.997,4.41,4
flip,0.997,4.15,4
guts,0.997,4.37,4
shop,0.997,4.72,4
sort,0.997,5.17,4
away,0.997,5.86,4
mile,0.997,4.32,4
code,0.997,4.72,4
jazz,0.997,4.07,4
flat,0.997,4.41,4
item,0.997,4.09,4
slap,0.997,4.09,4
wolf,0.997,4.30,4
pain,0.997,4.99,4
calm,0.997,4.94,4
drip,0.997,3.71,4
lose,0.997,5.21,4
odds,0.997,4.27,4
spit,0.997,4.28,4
kids,0.997,5.47,4
lock,0.997,4.75,4
only,0.997,6.03,4
thin,0.997,4.30,4
torn,0.997,4.03,4
camp,0.997,4.70,4
hull,0.997,3.62,4
lace,0.997,3.57,4
page,0.997,4.57,4
wood,0.997,4.43,4
deal,0.997,5.41,4
file,0.997,4.64,4
food,0.997,5.18,4
girl,0.997,5.74,4
deck,0.997,4.37,4
pale,0.997,3.90,4
wipe,0.997,4.22,4
bump,0.997,4.09,4
fail,0.997,4.39,4
home,0.997,5.88,4
meet,0.997,5.54,4
scan,0.997,3.97,4
tail,0.997,4.37,4
mail,0.997,4.56,4
tint,0.997,2.49,4
dial,0.997,3.94,4
kick,0.997,4.86,4
tide,0.997,3.86,4
sure,0.997,6.04,4
hook,0.997,4.57,4
loaf,0.997,3.65,4
riot,0.997,3.81,4
test,0.997,4.92,4
curl,0.997,3.37,4
rich,0.997,4.90,4
soup,0.997,4.40,4
next,0.997,5.65,4
chip,0.997,4.31,4
keep,0.997,5.84,4
lamp,0.997,4.11,4
hers,0.997,4.19,4
pace,0.997,3.98,4
some,0.997,6.23,4
undo,0.997,3.64,4
knot,0.997,3.56,4
park,0.997,4.85,4
beam,0.997,3.94,4
bean,0.997,3.83,4
blog,0.997,2.82,4
bulk,0.997,3.28,4
goes,0.997,5.33,4
memo,0.997,3.82,4
pond,0.997,3.80,4
town,0.997,5.39,4
yarn,0.997,3.20,4
gaze,0.997,3.40,4
host,0.997,4.17,4
lake,0.997,4.55,4
lion,0.997,4.18,4
sent,0.997,5.13,4
tick,0.997,3.86,4
dead,0.997,5.65,4
hour,0.997,5.20,4
pump,0.997,4.10,4
step,0.997,5.07,4
seat,0.997,4.89,4
stew,0.997,3.80,4
wrap,0.997,4.25,4
area,0.997,4.87,4
love,0.997,6.04,4
neat,0.997,4.09,4
rain,0.997,4.68,4
sale,0.997,4.40,4
snob,0.997,3.34,4
flex,0.997,2.99,4
foot,0.997,4.81,4
glad,0.997,5.23,4
side,0.997,5.30,4
hire,0.997,4.40,4
half,0.997,5.29,4
bite,0.997,4.61,4
junk,0.997,4.18,4
life,0.997,5.90,4
gulp,0.997,2.99,4
iris,0.997,3.72,4
mist,0.997,3.55,4
prey,0.997,3.74,4
ring,0.997,4.96,4
rush,0.997,4.49,4
note,0.997,4.72,4
mine,0.997,5.39,4
tank,0.997,4.40,4
time,0.997,6.29,4
able,0.997,5.20,4
dump,0.997,4.45,4
lump,0.997,3.55,4
lane,0.997,4.52,4
skip,0.997,4.32,4
soda,0.997,4.29,4
poke,0.997,3.76,4
talk,0.997,5.93,4
fear,0.997,4.83,4
flap,0.997,3.42,4
germ,0.997,3.10,4
call,0.997,5.93,4
malt,0.997,3.22,4
much,0.997,5.98,4
term,0.997,4.24,4
pill,0.997,4.07,4
lean,0.997,4.01,4
soap,0.997,4.18,4
lied,0.997,4.64,4
shot,0.997,5.35,4
knee,0.997,4.16,4
gone,0.997,5.47,4
damn,0.997,5.45,4
what,0.997,6.99,4
rack,0.997,3.89,4
bowl,0.997,4.33,4
born,0.997,4.92,4
farm,0.997,4.47,4
TRUE,0.996,5.40,4
daze,0.995,2.75,4
form,0.995,4.63,4
horn,0.995,4.32,4
harp,0.995,3.42,4
clan,0.995,3.61,4
prop,0.995,3.56,4
grow,0.995,4.77,4
hack,0.995,3.93,4
hall,0.995,4.71,4
look,0.995,6.28,4
moth,0.995,3.36,4
slob,0.995,3.55,4
suit,0.995,4.83,4
pear,0.995,3.13,4
seal,0.995,4.16,4
kept,0.995,4.95,4
slam,0.995,3.76,4
chew,0.995,3.95,4
ever,0.995,5.85,4
honk,0.995,3.38,4
lick,0.995,4.04,4
need,0.995,6.11,4
tube,0.995,4.21,4
word,0.995,5.37,4
heal,0.995,4.05,4
chin,0.995,4.10,4
clip,0.995,3.75,4
crib,0.995,3.79,4
geek,0.995,3.84,4
stud,0.995,3.84,4
husk,0.995,2.63,4
anus,0.995,3.04,4
maid,0.995,4.35,4
lice,0.995,3.33,4
nail,0.995,4.27,4
snow,0.995,4.49,4
song,0.995,4.97,4
this,0.995,6.90,4
bass,0.995,3.87,4
plum,0.995,3.53,4
puke,0.995,3.79,4
rash,0.995,3.90,4
slot,0.995,3.74,4
stay,0.995,5.71,4
lazy,0.995,4.06,4
ripe,0.995,3.62,4
rule,0.995,4.68,4
show,0.995,5.68,4
tape,0.995,4.83,4
tear,0.995,4.43,4
fart,0.995,3.80,4
lawn,0.995,4.09,4
acid,0.995,3.99,4
nest,0.995,4.04,4
sand,0.995,4.30,4
vote,0.995,4.53,4
menu,0.995,3.99,4
pray,0.995,4.55,4
rank,0.995,3.92,4
site,0.995,4.28,4
will,0.995,6.32,4
mole,0.995,3.90,4
moon,0.995,4.69,4
drop,0.995,5.11,4
iron,0.995,4.25,4
leap,0.995,3.82,4
tree,0.995,4.81,4
hail,0.995,4.08,4
room,0.995,5.64,4
fuse,0.995,3.68,4
lend,0.995,4.06,4
loop,0.995,3.83,4
soil,0.995,3.89,4
rage,0.995,4.05,4
view,0.995,4.58,4
bird,0.995,4.65,4
days,0.995,5.48,4
idle,0.995,3.44,4
knit,0.995,3.28,4
scar,0.995,3.92,4
such,0.995,5.46,4
whip,0.995,4.11,4
bend,0.995,4.17,4
bolt,0.995,3.83,4
card,0.995,4.93,4
last,0.995,5.85,4
tilt,0.995,3.34,4
work,0.995,5.90,4
cake,0.995,4.65,4
clog,0.995,2.91,4
evil,0.995,4.86,4
haul,0.995,3.85,4
slay,0.995,3.33,4
bias,0.995,3.21,4
scum,0.995,3.99,4
sofa,0.995,3.76,4
vain,0.995,3.81,4
liar,0.995,4.54,4
smug,0.995,3.38,4
urge,0.995,3.82,4
cost,0.995,4.73,4
have,0.995,6.78,4
mesh,0.995,2.84,4
warp,0.995,3.74,4
hoop,0.995,3.43,4
wish,0.995,5.37,4
boat,0.995,4.98,4
king,0.995,5.11,4
tent,0.995,4.24,4
vice,0.995,4.27,4
yoga,0.995,3.64,4
edit,0.995,3.18,4
fade,0.995,3.74,4
deaf,0.995,4.16,4
swim,0.995,4.50,4
bang,0.995,4.30,4
mean,0.995,6.09,4
sold,0.995,4.71,4
oats,0.995,3.31,4
snag,0.995,3.28,4
weak,0.995,4.49,4
wool,0.995,3.50,4
take,0.995,6.27,4
drag,0.995,4.42,4
hymn,0.995,3.21,4
icon,0.995,3.24,4
zoom,0.995,3.55,4
aids,0.995,3.03,4
bees,0.995,3.72,4
vent,0.995,3.64,4
lust,0.995,3.74,4
cook,0.995,4.65,4
bike,0.995,4.41,4
obey,0.995,3.95,4
tend,0.995,4.08,4
whom,0.995,4.54,4
hill,0.995,4.57,4
beer,0.995,4.87,4
vine,0.995,3.32,4
exit,0.995,4.19,4
kiss,0.995,5.08,4
goat,0.995,4.02,4
pony,0.995,3.90,4
teen,0.995,3.61,4
week,0.995,5.37,4
navy,0.995,4.40,4
slab,0.995,3.26,4
damp,0.995,3.46,4
debt,0.995,4.15,4
city,0.995,5.22,4
mask,0.995,4.29,4
tray,0.995,3.90,4
coal,0.995,3.81,4
fill,0.995,4.64,4
dark,0.995,4.94,4
just,0.995,6.67,4
late,0.995,5.43,4
turf,0.995,3.63,4
mint,0.995,3.73,4
bald,0.995,3.98,4
gasp,0.995,3.24,4
crop,0.995,3.68,4
lamb,0.995,4.02,4
sulk,0.994,2.88,4
oily,0.994,2.99,4
pine,0.994,3.79,4
want,0.994,6.44,4
halt,0.994,4.05,4
reef,0.994,3.60,4
gram,0.994,3.41,4
edgy,0.994,3.36,4
rice,0.994,4.17,4
bait,0.994,3.98,4
bush,0.994,4.14,4
flaw,0.994,3.48,4
fair,0.994,4.97,4
vest,0.994,3.74,4
blow,0.994,4.98,4
burn,0.994,4.74,4
bone,0.994,4.41,4
both,0.994,5.46,4
else,0.994,5.65,4
moss,0.994,3.45,4
coat,0.994,4.62,4
shoe,0.994,4.48,4
west,0.994,4.78,4
glue,0.994,3.77,4
brew,0.994,3.40,4
from,0.994,6.30,4
cart,0.994,3.95,4
gear,0.994,4.20,4
grey,0.994,3.96,4
peel,0.994,3.72,4
same,0.994,5.61,4
does,0.994,5.82,4
idol,0.994,3.44,4
jack,0.994,5.40,4
line,0.994,5.31,4
toss,0.994,4.09,4
chat,0.994,4.21,4
doom,0.994,3.74,4
font,0.994,2.98,4
huge,0.994,4.68,4
tact,0.994,3.04,4
monk,0.994,3.86,4
felt,0.994,5.07,4
hunt,0.994,4.41,4
lead,0.994,4.91,4
long,0.994,5.82,4
mule,0.994,3.84,4
silk,0.994,3.99,4
spam,0.994,3.06,4
club,0.994,4.99,4
dice,0.994,4.01,4
easy,0.994,5.42,4
many,0.994,5.55,4
near,0.994,4.91,4
pack,0.994,4.64,4
slug,0.994,3.69,4
darn,0.994,4.14,4
dogs,0.994,4.72,4
read,0.994,5.38,4
dirt,0.994,4.40,4
east,0.994,4.69,4
flew,0.994,4.18,4
toad,0.994,3.75,4
idea,0.994,5.55,4
yell,0.994,4.26,4
your,0.994,6.80,4
stub,0.994,2.99,4
tops,0.994,3.86,4
grip,0.994,3.98,4
luck,0.994,5.18,4
warm,0.994,4.71,4
then,0.994,6.17,4
eats,0.994,4.10,4
self,0.994,4.15,4
scab,0.994,2.81,4
into,0.994,5.92,4
rake,0.994,3.47,4
tall,0.994,4.50,4
used,0.994,5.53,4
yolk,0.994,2.63,4
feel,0.994,5.79,4
bind,0.994,3.52,4
rear,0.994,4.09,4
bank,0.994,4.92,4
gown,0.994,3.81,4
team,0.994,5.16,4
corn,0.994,4.15,4
kiwi,0.994,2.90,4
peck,0.994,3.54,4
deep,0.994,4.88,4
them,0.994,6.24,4
wire,0.994,4.43,4
cola,0.994,3.74,4
fork,0.994,3.94,4
main,0.994,4.63,4
rail,0.994,3.66,4
very,0.994,6.09,4
blue,0.994,5.00,4
coin,0.994,3.98,4
golf,0.994,4.40,4
hood,0.994,4.18,4
past,0.994,5.09,4
sole,0.994,3.72,4
cane,0.994,3.92,4
echo,0.994,3.83,4
even,0.994,5.94,4
hump,0.994,3.64,4
dash,0.994,3.78,4
fund,0.994,4.02,4
jeep,0.994,4.01,4
wind,0.994,4.77,4
race,0.994,4.79,4
rent,0.994,4.53,4
calf,0.993,3.47,4
year,0.993,5.44,4
foul,0.993,4.16,4
leaf,0.993,3.71,4
lush,0.993,3.07,4
hand,0.993,5.44,4
limb,0.993,3.67,4
cell,0.993,4.73,4
peer,0.993,3.18,4
guru,0.993,3.18,4
best,0.993,5.60,4
cafe,0.993,3.70,4
beat,0.993,5.11,4
void,0.993,3.61,4
join,0.993,4.92,4
pour,0.993,4.17,4
send,0.993,5.25,4
name,0.993,5.80,4
dome,0.992,3.29,4
plus,0.992,4.67,4
thug,0.992,3.54,4
diet,0.992,4.18,4
bash,0.992,3.51,4
turn,0.992,5.48,4
fuss,0.992,3.85,4
lung,0.992,3.91,4
chef,0.992,4.07,4
fort,0.992,4.18,4
mush,0.992,3.45,4
duck,0.992,4.39,4
dart,0.992,3.28,4
lime,0.992,3.51,4
acts,0.992,4.09,4
clay,0.992,4.07,4
mane,0.992,2.78,4
fang,0.992,3.28,4
gold,0.992,4.89,4
door,0.992,5.46,4
soul,0.992,4.88,4
duet,0.992,3.11,4
lard,0.992,3.23,4
lord,0.992,5.13,4
wits,0.992,3.45,4
bake,0.992,3.80,4
kind,0.992,5.77,4
tool,0.992,4.03,4
tied,0.992,4.42,4
amen,0.992,4.41,4
buck,0.992,4.52,4
kill,0.992,5.65,4
math,0.992,4.21,4
vile,0.992,3.64,4
done,0.992,5.68,4
fawn,0.992,2.86,4
goal,0.992,4.22,4
june,0.992,4.27,4
oath,0.992,3.99,4
glee,0.992,3.06,4
skim,0.992,2.93,4
gate,0.992,4.50,4
lame,0.992,4.03,4
make,0.992,6.14,4
four,0.992,5.40,4
nose,0.992,4.84,4
ours,0.992,4.54,4
dive,0.992,4.10,4
dude,0.992,4.99,4
part,0.992,5.41,4
haze,0.992,3.18,4
rave,0.992,3.40,4
java,0.992,3.18,4
hint,0.992,3.96,4
flee,0.992,3.66,4
verb,0.992,3.03,4
anal,0.992,3.43,4
stop,0.992,5.84,4
acre,0.992,3.26,4
walk,0.992,5.33,4
seem,0.992,5.14,4
toll,0.992,3.52,4
rare,0.992,4.32,4
bomb,0.992,4.72,4
envy,0.992,3.98,4
good,0.992,6.41,4
prom,0.992,4.24,4
were,0.992,6.22,4
here,0.992,6.65,4
robe,0.992,3.92,4
solo,0.992,3.93,4
visa,0.992,3.62,4
beep,0.992,3.81,4
game,0.992,5.36,4
july,0.992,4.08,4
slow,0.992,4.88,4
less,0.992,5.04,4
palm,0.992,4.12,4
rest,0.992,5.32,4
fury,0.992,3.58,4
rate,0.992,4.39,4
each,0.992,5.40,4
stir,0.992,3.77,4
weep,0.992,3.74,4
bail,0.992,4.23,4
buff,0.992,3.39,4
nerd,0.992,3.51,4
find,0.992,5.91,4
logo,0.992,3.26,4
mall,0.992,4.27,4
sane,0.992,3.74,4
surf,0.992,3.80,4
baby,0.992,5.70,4
dawn,0.992,4.40,4
coil,0.992,3.21,4
dock,0.992,3.98,4
crew,0.992,4.67,4
jaws,0.992,3.41,4
lift,0.992,4.53,4
safe,0.992,5.15,4
tell,0.992,6.23,4
case,0.992,5.45,4
pawn,0.992,3.63,4
tour,0.992,4.48,4
earn,0.992,4.18,4
funk,0.992,3.50,4
thud,0.992,3.29,4
rope,0.992,4.35,4
pole,0.992,4.10,4
sink,0.992,4.22,4
mild,0.991,3.68,4
swan,0.991,3.83,4
upon,0.991,4.79,4
fold,0.991,3.93,4
wasp,0.991,3.16,4
boil,0.991,3.77,4
fled,0.991,3.64,4
sons,0.991,4.25,4
cold,0.991,5.11,4
ping,0.991,3.51,4
pope,0.991,4.02,4
dent,0.991,3.54,4
atom,0.991,3.44,4
myth,0.991,3.83,4
nude,0.991,3.77,4
fizz,0.991,2.79,4
ward,0.991,4.15,4
reap,0.991,3.41,4
fret,0.991,3.27,4
crab,0.991,3.83,4
down,0.991,6.17,4
taps,0.991,3.40,4
lots,0.991,4.77,4
mice,0.991,3.81,4
cord,0.99,3.84,4
bead,0.99,3.05,4
polo,0.99,3.54,4
heel,0.99,3.86,4
jock,0.99,3.95,4
miss,0.99,5.66,4
slur,0.99,2.68,4
dual,0.99,3.05,4
poop,0.99,3.74,4
tack,0.99,3.32,4
hype,0.99,3.21,4
span,0.99,3.30,4
